background, person, image, K, BER, SNR
1, 1, 3, 64, 0.03415506210011291, 2
1, 1, 3, 64, 0.00616968654228722, 3
1, 1, 3, 64, 0.0005107801494704016, 4
1, 1, 3, 64, 0.0, 5
1, 1, 3, 64, 0.0, 6
1, 1, 3, 64, 0.0, 7
1, 1, 3, 128, 0.14394591107048765, 1
1, 1, 3, 128, 0.026627775686864884, 2
1, 1, 3, 128, 0.002607667078875208, 3
1, 1, 3, 128, 0.00010753266304640035, 4
1, 1, 3, 128, 0.0, 5
1, 1, 3, 128, 0.0, 6
1, 1, 3, 128, 0.0, 7
1, 1, 4, 1, 0.05584559902713129, 1
1, 1, 4, 1, 0.03777204679833941, 2
1, 1, 4, 1, 0.022581456787017236, 3
1, 1, 4, 1, 0.01294712123118212, 4
1, 1, 4, 1, 0.005419968968843041, 5
1, 1, 4, 1, 0.002411204763701933, 6
1, 1, 4, 1, 0.0007023944311653458, 7
1, 1, 4, 2, 0.08155113850798842, 1
1, 1, 4, 2, 0.05199815490418082, 2
1, 1, 4, 2, 0.03456409611271858, 3
1, 1, 4, 2, 0.018283222208244222, 4
1, 1, 4, 2, 0.009267413091793518, 5
1, 1, 4, 2, 0.003774059630142156, 6
1, 1, 4, 2, 0.0013733383654128402, 7
1, 1, 4, 4, 0.0627122908541955, 1
1, 1, 4, 4, 0.033096406256552184, 2
1, 1, 4, 4, 0.015494611481528075, 3
1, 1, 4, 4, 0.005409485469870424, 4
1, 1, 4, 4, 0.0016249423407556506, 5
1, 1, 4, 4, 0.0003249884681511301, 6
1, 1, 4, 4, 6.29009938357026e-05, 7
1, 1, 4, 8, 0.08181322598230385, 1
1, 1, 4, 8, 0.04196544638738625, 2
1, 1, 4, 8, 0.01855579318153227, 3
1, 1, 4, 8, 0.007862624229462826, 4
1, 1, 4, 8, 0.0017297773304818216, 5
1, 1, 4, 8, 0.000314504969178513, 6
1, 1, 4, 8, 3.14504969178513e-05, 7
1, 1, 4, 16, 0.08538809913196628, 1
1, 1, 4, 16, 0.04174529290896129, 2
1, 1, 4, 16, 0.01142701388015264, 3
1, 1, 4, 16, 0.002589424246236424, 4
1, 1, 4, 16, 0.0006919109321927286, 5
1, 1, 4, 16, 0.0, 6
1, 1, 4, 16, 0.0, 7
1, 1, 4, 32, 0.09690946450287248, 1
1, 1, 4, 32, 0.034448777624019794, 2
1, 1, 4, 32, 0.009560951063026795, 3
1, 1, 4, 32, 0.0009854489034260075, 4
1, 1, 4, 32, 0.0, 5
1, 1, 4, 32, 0.0, 6
1, 1, 4, 32, 0.0, 7
1, 1, 4, 64, 0.1247536377741435, 1
1, 1, 4, 64, 0.035633413007925524, 2
1, 1, 4, 64, 0.0042038830880194574, 3
1, 1, 4, 64, 0.0005032079506856208, 4
1, 1, 4, 64, 0.0, 5
1, 1, 4, 64, 0.0, 6
1, 1, 4, 64, 0.0, 7
1, 1, 4, 128, 0.15058497924267203, 1
1, 1, 4, 128, 0.029186061139766007, 2
1, 1, 4, 128, 0.004120015096238521, 3
1, 1, 4, 128, 0.00020966997945234201, 4
1, 1, 4, 128, 0.0, 5
1, 1, 4, 128, 0.0, 6
1, 1, 4, 128, 0.0, 7
1, 1, 5, 1, 0.055873725380639755, 1
1, 1, 5, 1, 0.035689342086883645, 2
1, 1, 5, 1, 0.0227685430926107, 3
1, 1, 5, 1, 0.012641430367369744, 4
1, 1, 5, 1, 0.006285794105321972, 5
1, 1, 5, 1, 0.002758765190669088, 6
1, 1, 5, 1, 0.0006984215672579969, 7
1, 1, 5, 2, 0.08381058807095963, 1
1, 1, 5, 2, 0.05266098617125297, 2
1, 1, 5, 2, 0.03397820924710155, 3
1, 1, 5, 2, 0.01798435535689342, 4
1, 1, 5, 2, 0.009638217628160358, 5
1, 1, 5, 2, 0.004260371560273781, 6
1, 1, 5, 2, 0.0011174745076127951, 7
1, 1, 5, 4, 0.06275317781813103, 1
1, 1, 5, 4, 0.031079759742980863, 2
1, 1, 5, 4, 0.014946221539321134, 3
1, 1, 5, 4, 0.0058667411649671744, 4
1, 1, 5, 4, 0.00230479117195139, 5
1, 1, 5, 4, 0.00017460539181449923, 6
